Date_Ajout,Date_Sortie,Titre,Artiste,Genre,Difficulté,preview_url,artwork_url
2026-01-12,1969-10-07,I Want You Back,The Jackson 5,1,Facile,./fichiers_audio/386_I_Want_You_Back_The_Jackson_5.m4a,./pochettes/386_I_Want_You_Back_The_Jackson_5.jpg
2026-01-12,2021-07-09,Stay,The Kid LAROI & Justin Bieber,1,Facile,./fichiers_audio/387_Stay_The_Kid_LAROI__Justin_Bieber.m4a,./pochettes/387_Stay_The_Kid_LAROI__Justin_Bieber.jpg
2026-01-12,2003-09-29,Mr. Brightside,The Killers,2,Facile,./fichiers_audio/388_Mr_Brightside_The_Killers.m4a,./pochettes/388_Mr_Brightside_The_Killers.jpg
2026-01-12,2008-09-22,Human,The Killers,2,Facile,./fichiers_audio/389_Human_The_Killers.m4a,./pochettes/389_Human_The_Killers.jpg
2026-01-12,1964-08-04,You Really Got Me,The Kinks,2,Facile,./fichiers_audio/390_You_Really_Got_Me_The_Kinks.m4a,./pochettes/390_You_Really_Got_Me_The_Kinks.jpg
2026-01-12,1965-12-08,California Dreamin',The Mamas & the Papas,1,Moyen,./fichiers_audio/391_California_Dreamin_The_Mamas__the_Papas.m4a,./pochettes/391_California_Dreamin_The_Mamas__the_Papas.jpg
2026-01-12,1998-11-09,Pretty Fly (For a White Guy),The Offspring,2,Facile,./fichiers_audio/392_Pretty_Fly_For_a_White_Guy_The_Offspring.m4a,./pochettes/392_Pretty_Fly_For_a_White_Guy_The_Offspring.jpg
2026-01-12,1978-04-14,Roxanne,The Police,2,Facile,./fichiers_audio/393_Roxanne_The_Police.m4a,./pochettes/393_Roxanne_The_Police.jpg
2026-01-12,1979-09-07,Message in a Bottle,The Police,2,Facile,./fichiers_audio/394_Message_in_a_Bottle_The_Police.m4a,./pochettes/394_Message_in_a_Bottle_The_Police.jpg
2026-01-12,1983-05-20,Every Breath You Take,The Police,2,Facile,./fichiers_audio/395_Every_Breath_You_Take_The_Police.m4a,./pochettes/395_Every_Breath_You_Take_The_Police.jpg
2026-01-12,1965-07-17,Unchained Melody,The Righteous Brothers,5,Moyen,./fichiers_audio/396_Unchained_Melody_The_Righteous_Brothers.m4a,./pochettes/396_Unchained_Melody_The_Righteous_Brothers.jpg
2026-01-12,1965-06-06,(I Can't Get No) Satisfaction,The Rolling Stones,2,Facile,./fichiers_audio/397_I_Cant_Get_No_Satisfaction_The_Rolling_Stones.m4a,./pochettes/397_I_Cant_Get_No_Satisfaction_The_Rolling_Stones.jpg
2026-01-12,1966-05-07,Paint It Black,The Rolling Stones,2,Facile,./fichiers_audio/398_Paint_It_Black_The_Rolling_Stones.m4a,./pochettes/398_Paint_It_Black_The_Rolling_Stones.jpg
2026-01-12,1973-08-20,Angie,The Rolling Stones,2,Facile,./fichiers_audio/399_Angie_The_Rolling_Stones.m4a,./pochettes/399_Angie_The_Rolling_Stones.jpg
2026-01-12,1963-08-17,Be My Baby,The Ronettes,1,Moyen,./fichiers_audio/400_Be_My_Baby_The_Ronettes.m4a,./pochettes/400_Be_My_Baby_The_Ronettes.jpg
2026-01-12,1979-09-16,Rapper's Delight,The Sugarhill Gang,3,Difficile,./fichiers_audio/401_Rappers_Delight_The_Sugarhill_Gang.m4a,./pochettes/401_Rappers_Delight_The_Sugarhill_Gang.jpg
2026-01-12,1964-12-21,My Girl,The Temptations,5,Moyen,./fichiers_audio/402_My_Girl_The_Temptations.m4a,./pochettes/402_My_Girl_The_Temptations.jpg
2026-01-12,1967-01-31,Happy Together,The Turtles,1,Facile,./fichiers_audio/403_Happy_Together_The_Turtles.m4a,./pochettes/403_Happy_Together_The_Turtles.jpg
2026-01-12,1997-06-16,Bitter Sweet Symphony,The Verve,2,Moyen,./fichiers_audio/404_Bitter_Sweet_Symphony_The_Verve.m4a,./pochettes/404_Bitter_Sweet_Symphony_The_Verve.jpg
2026-01-12,2019-11-29,Blinding Lights,The Weeknd,4,Facile,./fichiers_audio/405_Blinding_Lights_The_Weeknd.m4a,./pochettes/405_Blinding_Lights_The_Weeknd.jpg
2026-01-12,2020-08-09,Save Your Tears,The Weeknd,4,Facile,./fichiers_audio/406_Save_Your_Tears_The_Weeknd.m4a,./pochettes/406_Save_Your_Tears_The_Weeknd.jpg
2026-01-12,2003-02-17,Seven Nation Army,The White Stripes,2,Facile,./fichiers_audio/407_Seven_Nation_Army_The_White_Stripes.m4a,./pochettes/407_Seven_Nation_Army_The_White_Stripes.jpg
